Chess pieces balance;M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30;M31;M32;M33;M34;M35;M36;M37;M38;M39;M40;M41;M42;M43;M44;M45;M46;M47;M48;M49;M50
WhitePawnA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00
WhitePawnB;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
WhitePawnC;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;1.00;1.00;1.00;0.33;0.33;-0.33;0.00;1.00
WhitePawnD;1.00;1.00;1.00;1.00;1.00;0.25;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
WhitePawnE;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;1.00;1.00;1.00;-0.17;-0.17;-0.17;-0.17;-0.40;D;D;D;D;D;D;D;D;D;D;D
WhitePawnF;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.50;0.50;0.67;0.25;-0.50;-0.33;-0.33;-0.33;-0.33;0.00;0.00;0.00;0.00;0.00
WhitePawnG;1.00;1.00;1.00;0.50;0.50;0.50;0.50;1.00;1.00;1.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.75;0.75;0.75;0.75;0.67;0.67;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.33;1.00;1.00
WhitePawnH;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;1.00;1.00;1.00;1.00;1.00;1.00
WhiteRookA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.60;0.60;0.60;0.60;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.67;0.25
WhiteHorseB;0.50;0.50;0.50;0.50;0.50;1.00;1.00;1.00;1.00;0.25;0.25;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.00;0.00;0.20;0.20;0.20;0.25;0.25;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.67;0.67;0.50;0.50;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.33;0.33
WhiteBishopC;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00;0.00;0.25;0.25;0.33;0.25;0.67;0.67;0.33;0.33;0.25;0.25;0.25;0.25;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.33;0.33;0.25;0.25;0.25;0.25
WhiteQueen;0.17;0.20;0.20;0.17;0.17;0.17;0.17;0.20;0.20;0.33;0.33;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.38;0.44;0.44;0.44;0.44;0.17;0.17;0.29;0.29;0.17;0.17;0.17;0.17;0.14;0.14;0.14;0.14;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.14;0.14;0.17;0.17;0.29;0.29
WhiteKing;0.17;0.20;0.20;0.33;0.33;0.40;0.40;0.25;0.25;0.25;0.25;0.40;0.40;0.20;0.20;0.25;0.25;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
WhiteBishopF;0.33;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.50;0.67;0.67;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.57;0.57;0.60;0.60;0.50;0.50;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.33;0.33;0.33;0.14;0.43;0.33;0.33;0.14;0.14;D;D;D
