Chess pieces balance;M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22
WhitePawnA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
WhitePawnB;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;1.00;1.00;0.00;0.00
WhitePawnC;1.00;1.00;1.00;-0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50
WhitePawnD;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00
WhitePawnE;1.00;0.75;0.75;0.75;0.75;0.75;0.75;0.67;0.67;0.50;0.50;0.33;0.33;0.25;0.25;-0.40;D;D;D;D;D;D;D
WhitePawnF;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67
WhitePawnG;1.00;0.50;0.50;0.50;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.75;0.75
WhitePawnH;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67
WhiteRookA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33
WhiteHorseB;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.33;0.33;0.33;0.33
WhiteBishopC;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.33;0.33;0.50;0.50;0.67;0.67;0.67;0.67;0.33;0.33
WhiteQueen;0.17;0.17;0.17;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.33;0.33
WhiteKing;0.17;0.29;0.29;0.29;0.29;0.29;0.29;0.43;0.43;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
WhiteBishopF;0.33;0.50;0.50;0.50;0.50;0.67;0.67;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
WhiteHorseG;0.50;0.40;0.40;0.40;0.33;0.20;0.20;0.33;0.29;0.29;0.29;0.33;0.33;0.33;0.33;0.33;0.40;0.40;0.40;0.40;0.40;0.40;0.40
WhiteRookH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50
White Overall;0.04;0.04;0.04;0.03;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.03;0.04

BlackPawnA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
BlackPawnB;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00
BlackPawnC;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;-0.33;-0.33
BlackPawnD;1.00;1.00;1.00;0.00;0.00;0.00;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.17;0.17;D;D;D;D;D;D;D;D
BlackPawnE;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.25;0.33;0.33;0.33;0.00;0.00;0.00;0.00
BlackPawnF;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
BlackPawnG;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.00;0.00;0.00;0.00;0.50;0.50;0.50;0.50;0.50
BlackPawnH;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
BlackRookA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33
BlackHorseB;0.50;0.50;1.00;1.00;1.00;1.00;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.17;0.17;0.20;0.20;0.20;0.20;0.20;0.20;0.20
BlackBishopC;0.33;0.33;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.00;0.00;0.00
BlackQueen;0.17;0.17;0.17;0.17;0.17;0.17;0.29;0.29;0.33;0.33;0.33;0.33;0.29;0.29;0.38;0.38;0.38;0.38;0.38;0.38;0.44;0.44;0.44
BlackKing;0.17;0.17;0.20;0.20;0.20;0.20;0.20;0.20;0.25;0.25;0.25;0.25;0.40;0.40;0.50;0.50;0.50;0.50;0.33;0.33;0.33;0.33;0.33
BlackBishopF;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.67;0.67;0.60;0.60;0.60;0.50;0.33;0.40;0.40;0.40;0.40
BlackHorseG;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50
BlackRookH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.50;0.50;0.50
Black Overall;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.03;0.03;0.03;0.03

Ecosystem balance;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02
